mouseID,exptID,expt_info,sex,age_at_start,timepoint,age_at_S1K
5276,TH276_d15,TAM 5d OG,F,63,15,78
5277,TH276_d15,TAM 5d OG Cre-het,F,63,15,78
5275,TH276_d64,TAM 5d OG,F,63,64,127
7321,TH311_d8,TAM 5d IP,F,93,8,101
7554,TH311_d8,TAM 5d IP,F,72,8,80
7703,TH311_d8,TAM 5d IP,F,49,8,57
7548,TH311_d8,TAM 5d IP,M,72,8,80
7320,TH311_d66,TAM 5d IP,F,93,66,159
7698,TH311_d66,TAM 5d IP,F,50,66,116
7701,TH311_d66,TAM 5d IP,F,49,66,115
7549,TH311_d66,TAM 5d IP,M,72,66,138
8140,TH319_d4+flu,TAM 4d IP +flu,M,76,4,80
8157,TH319_d4+flu,TAM 4d IP +flu,M,68,4,72
8160,TH319_d4,TAM 4d IP,F,68,4,72
8161,TH319_d4,TAM 4d IP,F,68,4,72
8141,TH319_d7+flu,TAM 5d IP +flu,M,76,7,83
8158,TH319_d7+flu,TAM 5d IP +flu,M,68,7,75
8206,TH319_d7,TAM 5d IP,F,63,7,70
8242,TH319_d7,TAM 5d IP,M,49,7,56
8142,TH319_d14+flu,TAM 5d IP +flu,M,76,14,90
8204,TH319_d14+flu,TAM 5d IP +flu,M,63,14,77
8207,TH319_d14,TAM 5d IP,F,63,14,77
8243,TH319_d14,TAM 5d IP,M,49,14,63
8143,TH319_d29+flu,TAM 5d IP +flu,M,76,29,105
8205,TH319_d29+flu,TAM 5d IP +flu,M,63,29,92
8208,TH319_d29,TAM 5d IP,F,63,29,92
8244,TH319_d29,TAM 5d IP,M,49,29,78
8857,TH328_d7,TAM 4xIP over 5d,M,35,7,42
8858,TH328_d7,TAM 4xIP over 5d,M,35,7,42
8859,TH328_d7,TAM 4xIP over 5d,F,35,7,42
8372,TH328_d7,TAM 4xIP over 5d,F,115,7,122
8860,TH328_d44,TAM 4xIP over 5d,F,35,44,79
8861,TH328_d44,TAM 4xIP over 5d,F,35,44,79
8373,TH328_d44,TAM 4xIP over 5d,F,115,44,159
15112,TH356_d10,TAM 5d IP,M,71,10,81
15114,TH356_d10,TAM 5d IP,F,71,10,81
15115,TH356_d10,TAM 5d IP,F,71,10,81
14999,TH356_d10,TAM 5d IP,F,94,10,104
15372,TH359_d21,TAM 5d IP,M,69,21,90
15373,TH359_d21,TAM 5d IP,M,69,21,90
15374,TH359_d21,TAM 5d IP (fight wounds),M,69,21,90
15375,TH359_d21,TAM 5d IP (fight wounds),M,69,21,90
15607,TH362_d4,TAM 4d IP,M,67,4,71
15608,TH362_d4,TAM 4d IP,M,67,4,71
15609,TH362_d4,TAM 4d IP,M,67,4,71
15113,TH356_d100,TAM 5d IP,M,71,99,170
14999,TH356_d100,TAM 5d IP (weird thymus),F,94,99,193
15116,TH356_d100,TAM 5d IP,F,71,99,170
15599,TH356_d100,no TAM ctrl,M,,0,86
15610,TH362_d17,TAM 5d IP,M,67,17,84
15611,TH362_d17,TAM 5d IP,M,67,17,84
15600,TH362_d17,no TAM ctrl,M,,0,88
15604,TH362_d24,TAM 5d IP,F,67,24,91
15612,TH362_d24,TAM 5d IP,F,71,24,95
15601,TH362_d24,no TAM ctrl,M,,0,95
15605,TH362_d38,TAM 5d IP,F,71,38,109
15606,TH362_d38,TAM 5d IP,F,71,38,109
15602,TH362_d38,no TAM ctrl,M,,0,109
15613,TH362_d52,TAM 5d IP,F,67,52,119
15614,TH362_d52,TAM 5d IP,F,67,52,119
15603,TH362_d52,no TAM,M,,0,123
